"X","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM"
1,2013,11,23,12,165,162,56,89.7161,2300,16,13.2,1015,-5.9,0,"E",0.8
2,2013,8,15,1,50,61,4,17,900,84,27.8,999.6,25.6,0,"S",0.9
3,2014,1,5,6,137,138,77,91,2300,4,-3.7,1019.6,-7.7,0,"N",0.9
4,2015,12,5,9,28,34,19,61,1400,5,1.4,1026.9,-9,0,"NE",1.2
5,2014,5,7,13,22,84,4,12,100,119,24.4,1001.9,-4.9,0,"NW",2.8
6,2014,10,31,18,183,194,11,103,2100,10,13.4,1014.8,9.6,0,"S",0.8
7,2016,12,5,22,25,34,9,85,1000,3,-0.2,1027.2,-14.9,0,"SW",0.6
8,2013,11,4,11,31,62,10,55,700,12.2094,16.4,1024.6,-3.2,0,"W",3.6
9,2016,2,23,6,10,10,5,16,300,68,-1.5,1033.4,-17.7,0,"NW",3.2
10,2015,5,16,18,48,48,11,23,600,174,27.4,1000.6,3.1,0,"SW",4.8
11,2015,8,4,11,12,45,6,40,600,74,29.4,997.9,15.1,0,"S",1
12,2016,5,20,7,113,114,20,84,1000,39,19,1011.7,10.5,0,"E",1.3
13,2013,11,15,13,56,149,23,62,800,29.3454,16,1010.9,-8.4,0,"S",1.3
14,2014,9,9,6,27,65,3,67,600,2,17.5,1006.4,11.5,0,"NE",1.2
15,2015,6,19,22,37,58,4,75,1200,24,18.5,1008.2,16.5,0,"SW",0.1
16,2016,2,13,19,8,17,2,8,200,77,-1.6,1025,-21.7,0,"NW",6.5
17,2013,7,25,17,71,55,13,36,600,210,33.9,996.3,19.9,0,"SE",2.8
18,2017,1,26,16,8,110,3,10,200,71,9.166666667,1018.333333,-12.1,0,"NE",4.6
19,2016,7,1,18,13,70,2,24,500,165,31.4,997.6,13.6,0,"S",1.6
20,2016,9,26,13,52,52,2,43,1200,47,19.425,1010,18.2,0,"NE",1.4
