"name","mfr","type","calories","protein","fat","sodium","fiber","carbo","sugars","potass","shelf"
"100%_Bran","N","C",212.1,12.1,3,393.9,30.3,15.2,18.2,848.5,"high"
"100%_Natural_Bran","Q","C",120,3,5,15,2,8,8,135,"high"
"All-Bran","K","C",212.1,12.1,3,787.9,27.3,21.2,15.2,969.7,"high"
"All-Bran_with_Extra_Fiber","K","C",100,8,0,280,28,16,0,660,"high"
"Almond_Delight","R","C",146.7,2.7,2.7,266.7,1.3,18.7,10.7,0,"high"
"Apple_Cinnamon_Cheerios","G","C",146.7,2.7,2.7,240,2,14,13.3,93.3,"low"
"Apple_Jacks","K","C",110,2,0,125,1,11,14,30,"mid"
"Basic_4","G","C",173.3,4,2.7,280,2.7,24,10.7,133.3,"high"
"Bran_Chex","R","C",134.3,3,1.5,298.5,6,22.4,9,186.6,"low"
"Bran_Flakes","P","C",134.3,4.5,0,313.4,7.5,19.4,7.5,283.6,"high"
"Cap'n'Crunch","Q","C",160,1.3,2.7,293.3,0,16,16,46.7,"mid"
"Cheerios","G","C",88,4.8,1.6,232,1.6,13.6,0.8,84,"low"
"Cinnamon_Toast_Crunch","G","C",160,1.3,4,280,0,17.3,12,60,"mid"
"Clusters","G","C",220,6,4,280,4,26,14,210,"high"
"Cocoa_Puffs","G","C",110,1,1,180,0,12,13,55,"mid"
"Corn_Chex","R","C",110,2,0,280,0,22,3,25,"low"
"Corn_Flakes","K","C",100,2,0,290,1,21,2,35,"low"
"Corn_Pops","K","C",110,1,0,90,1,13,12,20,"mid"
"Count_Chocula","G","C",110,1,1,180,0,12,13,65,"mid"
"Cracklin'_Oat_Bran","K","C",220,6,6,280,8,20,14,320,"high"
"Cream_of_Wheat_(Quick)","N","H",100,3,0,80,1,21,0,0,"mid"
"Crispix","K","C",110,2,0,220,1,21,3,30,"high"
"Crispy_Wheat_&_Raisins","G","C",133.3,2.7,1.3,186.7,2.7,14.7,13.3,160,"high"
"Double_Chex","R","C",133.3,2.7,0,253.3,1.3,24,6.7,106.7,"high"
"Froot_Loops","K","C",110,2,1,125,1,11,13,30,"mid"
"Frosted_Flakes","K","C",146.7,1.3,0,266.7,1.3,18.7,14.7,33.3,"low"
"Frosted_Mini-Wheats","K","C",125,3.8,0,0,3.8,17.5,8.8,125,"mid"
"Fruit_&_Fibre_Dates,_Walnuts,_and_Oats","P","C",179.1,4.5,3,238.8,7.5,17.9,14.9,298.5,"high"
"Fruitful_Bran","K","C",179.1,4.5,0,358.2,7.5,20.9,17.9,283.6,"high"
"Fruity_Pebbles","P","C",146.7,1.3,1.3,180,0,17.3,16,33.3,"mid"
"Golden_Crisp","P","C",113.6,2.3,0,51.1,0,12.5,17,45.5,"low"
"Golden_Grahams","G","C",146.7,1.3,1.3,373.3,0,20,12,60,"mid"
"Grape_Nuts_Flakes","P","C",113.6,3.4,1.1,159.1,3.4,17,5.7,96.6,"high"
"Grape-Nuts","P","C",440,12,0,680,12,68,12,360,"high"
"Great_Grains_Pecan","P","C",363.6,9.1,9.1,227.3,9.1,39.4,12.1,303,"high"
"Honey_Graham_Ohs","Q","C",120,1,2,220,1,12,11,45,"mid"
"Honey_Nut_Cheerios","G","C",146.7,4,1.3,333.3,2,15.3,13.3,120,"low"
"Honey-comb","P","C",82.7,0.8,0,135.3,0,10.5,8.3,26.3,"low"
"Just_Right_Crunchy__Nuggets","K","C",110,2,1,170,1,17,6,60,"high"
"Just_Right_Fruit_&_Nut","K","C",186.7,4,1.3,226.7,2.7,26.7,12,126.7,"high"
"Kix","G","C",73.3,1.3,0.7,173.3,0,14,2,26.7,"mid"
"Life","Q","C",149.3,6,3,223.9,3,17.9,9,141.8,"mid"
