"base_var","Class 1","Class 2","Class 3","Class 4"
"_0to5","4% (N = 34)","5% (N = 33)","6% (N = 132)","6% (N = 69)"
"_11to20","35% (N = 280)","43% (N = 280)","42% (N = 866)","34% (N = 382)"
"_21to30","30% (N = 235)","27% (N = 180)","26% (N = 533)","30% (N = 335)"
"_31more","17% (N = 135)","10% (N = 64)","8% (N = 173)","16% (N = 181)"
"_6to10","14% (N = 107)","15% (N = 99)","17% (N = 346)","14% (N = 151)"
"adi_state","6.6 (2.6)","4.3 (3)","4.1 (2.8)","4.5 (2.9)"
"age","47.4 (9.6)","44.9 (9)","44 (8.6)","46.4 (9.7)"
"age35below","12% (N = 98)","15% (N = 96)","16% (N = 338)","15% (N = 165)"
"age36to45","32% (N = 250)","42% (N = 276)","44% (N = 895)","34% (N = 375)"
"age46to55","36% (N = 281)","30% (N = 199)","30% (N = 610)","33% (N = 372)"
"age56to65","18% (N = 139)","11% (N = 71)","9% (N = 190)","16% (N = 175)"
"age66over","3% (N = 23)","2% (N = 14)","1% (N = 18)","3% (N = 32)"
"american_native","2% (N = 15)","1% (N = 6)","0% (N = 10)","0% (N = 3)"
"asian_or_pi","10% (N = 79)","4% (N = 24)","9% (N = 175)","13% (N = 149)"
"black","10% (N = 82)","13% (N = 83)","9% (N = 189)","15% (N = 167)"
"fan","1% (N = 9)","0% (N = 2)","0% (N = 5)","0% (N = 1)"
"fasian","4% (N = 34)","3% (N = 18)","5% (N = 99)","7% (N = 76)"
"fblack","6% (N = 44)","9% (N = 60)","6% (N = 123)","8% (N = 85)"
"female","34% (N = 266)","50% (N = 331)","45% (N = 926)","41% (N = 462)"
"fgen_boom_lead","4% (N = 31)","3% (N = 20)","2% (N = 45)","4% (N = 44)"
"fgen_boom_trail","10% (N = 82)","13% (N = 84)","12% (N = 255)","13% (N = 148)"
"fgen_ww2","0% (N = 2)","0% (N = 2)","0% (N = 1)","0% (N = 3)"
"fgen_x","19% (N = 151)","34% (N = 225)","30% (N = 625)","24% (N = 267)"
"fgen_y","0% (N = 0)","0% (N = 0)","0% (N = 0)","0% (N = 0)"
"fhispanic","1% (N = 8)","2% (N = 16)","1% (N = 28)","2% (N = 26)"
"fother","1% (N = 7)","0% (N = 1)","1% (N = 27)","1% (N = 13)"
"funknown","0% (N = 2)","0% (N = 1)","0% (N = 3)","0% (N = 1)"
"fwhite","20% (N = 162)","36% (N = 233)","31% (N = 641)","23% (N = 260)"
"gen_boom_lead","24% (N = 190)","15% (N = 99)","13% (N = 268)","20% (N = 227)"
"gen_boom_trail","34% (N = 265)","32% (N = 208)","32% (N = 659)","34% (N = 382)"
"gen_ww2","4% (N = 35)","3% (N = 21)","2% (N = 45)","5% (N = 51)"
"gen_x","38% (N = 301)","50% (N = 328)","53% (N = 1078)","41% (N = 459)"
"gen_y","0% (N = 0)","0% (N = 0)","0% (N = 1)","0% (N = 0)"
"group","0% (N = 0)","0% (N = 0)","0% (N = 0)","0% (N = 0)"
"group_fam","50% (N = 392)","0% (N = 1)","42% (N = 857)","41% (N = 464)"
"group_ger","0% (N = 2)","0% (N = 0)","0% (N = 6)","2% (N = 22)"
"group_int","31% (N = 243)","0% (N = 0)","28% (N = 577)","40% (N = 448)"
"group_obgyn","2% (N = 13)","100% (N = 655)","0% (N = 0)","0% (N = 2)"
"group_ped","18% (N = 140)","0% (N = 0)","30% (N = 610)","16% (N = 182)"
"hispanicrace","4% (N = 33)","3% (N = 22)","3% (N = 54)","5% (N = 55)"
"hpsa_full","17% (N = 134)","4% (N = 26)","2% (N = 45)","3% (N = 38)"
"hpsa_not","9% (N = 72)","3% (N = 19)","2% (N = 47)","2% (N = 18)"
"hpsa_part","74% (N = 585)","93% (N = 611)","96% (N = 1959)","95% (N = 1063)"
"in","100% (N = 791)","100% (N = 656)","100% (N = 2051)","100% (N = 1119)"
"man","1% (N = 6)","1% (N = 4)","0% (N = 5)","0% (N = 2)"
"masian","6% (N = 45)","1% (N = 6)","4% (N = 76)","7% (N = 73)"
"mblack","5% (N = 38)","4% (N = 23)","3% (N = 66)","7% (N = 82)"
"mgen_boom_lead","20% (N = 159)","12% (N = 79)","11% (N = 223)","16% (N = 183)"
"mgen_boom_trail","23% (N = 183)","19% (N = 124)","20% (N = 404)","21% (N = 234)"
"mgen_ww2","4% (N = 33)","3% (N = 19)","2% (N = 44)","4% (N = 48)"
"mgen_x","19% (N = 150)","16% (N = 103)","22% (N = 453)","17% (N = 192)"
"mgen_y","0% (N = 0)","0% (N = 0)","0% (N = 1)","0% (N = 0)"
"mhispanic","3% (N = 25)","1% (N = 6)","1% (N = 26)","3% (N = 29)"
"mother","2% (N = 17)","0% (N = 3)","1% (N = 22)","1% (N = 15)"
"munknown","0% (N = 0)","0% (N = 0)","0% (N = 2)","0% (N = 1)"
"mwhite","50% (N = 394)","43% (N = 283)","45% (N = 928)","41% (N = 455)"
"obstetrics","2% (N = 18)","80% (N = 512)","2% (N = 39)","2% (N = 23)"
"other_race","3% (N = 24)","1% (N = 4)","2% (N = 49)","3% (N = 28)"
"patient_care_hours","44.9 (13.4)","47.8 (15.2)","40 (11.5)","39.8 (16.3)"
"practice_yrs","20.3 (9.8)","18.4 (8.9)","17.6 (8.8)","20 (10)"
"prenatal","5% (N = 35)","82% (N = 523)","4% (N = 91)","8% (N = 81)"
"race_unknown","0% (N = 2)","0% (N = 1)","0% (N = 5)","0% (N = 2)"
"ruca_lrural","71% (N = 559)","12% (N = 82)","0% (N = 0)","0% (N = 0)"
"ruca_srural","29% (N = 232)","3% (N = 21)","0% (N = 0)","0% (N = 0)"
"ruca_urban","0% (N = 0)","84% (N = 553)","100% (N = 2051)","100% (N = 1119)"
"school_img","20% (N = 160)","3% (N = 20)","10% (N = 214)","24% (N = 264)"
"school_in_state","33% (N = 261)","37% (N = 243)","35% (N = 722)","25% (N = 278)"
"school_out_hbcu","2% (N = 12)","2% (N = 10)","1% (N = 21)","2% (N = 27)"
"school_out_nonhbcu","45% (N = 358)","58% (N = 383)","53% (N = 1094)","49% (N = 550)"
"setting_amb","62% (N = 489)","76% (N = 497)","100% (N = 2051)","0% (N = 0)"
"setting_hosp","12% (N = 95)","5% (N = 32)","0% (N = 0)","32% (N = 362)"
"setting_medsch","0% (N = 1)","4% (N = 26)","0% (N = 0)","13% (N = 147)"
"setting_missing","5% (N = 39)","4% (N = 29)","0% (N = 0)","15% (N = 169)"
"setting_nurs","1% (N = 4)","0% (N = 0)","0% (N = 0)","3% (N = 38)"
"setting_other","1% (N = 9)","0% (N = 2)","0% (N = 0)","2% (N = 22)"
"setting_solo","19% (N = 154)","11% (N = 70)","0% (N = 0)","34% (N = 381)"
"white","70% (N = 556)","79% (N = 516)","76% (N = 1569)","64% (N = 715)"
"zadi_state","0.6 (0.9)","-0.1 (1)","-0.2 (0.9)","-0.1 (1)"
"zhours","0.3 (0.9)","0.5 (1)","0 (0.8)","-0.1 (1.1)"
