"Variable","2009 only (N = 4085)","Both years – 2009 (N = 4617)","Both years – 2019 (N = 4617)","2019 only (N = 3312)"
"_0to5","8%","22%","6%","0%"
"_11to20","26%","27%","39%","21%"
"_21to30","24%","11%","28%","39%"
"_31more","25%","10%","12%","40%"
"_6to10","17%","29%","15%","0%"
"adi_state","4.8 (3)","4.4 (3)","4.6 (3)","4.5 (3)"
"age","47.9 (12.3)","40.8 (10.9)","45.3 (9.2)","55.3 (9.2)"
"age35below","19%","39%","15%","0%"
"age36to45","27%","36%","39%","15%"
"age46to55","24%","13%","32%","39%"
"age56to65","21%","8%","12%","32%"
"age66over","8%","4%","2%","14%"
"american_native","1%","0%","1%","1%"
"asian_or_pi","11%","12%","9%","9%"
"black","10%","11%","11%","11%"
"fan","0%","0%","0%","0%"
"fasian","4%","8%","5%","5%"
"fblack","5%","8%","7%","7%"
"female","35%","60%","43%","43%"
"fgen_boom_lead","5%","1%","3%","3%"
"fgen_boom_trail","9%","3%","12%","12%"
"fgen_ww2","1%","0%","0%","0%"
"fgen_x","20%","22%","27%","27%"
"fgen_y","0%","34%","0%","0%"
"fhispanic","2%","3%","2%","2%"
"fother","2%","2%","1%","1%"
"funknown","0%","5%","0%","0%"
"fwhite","23%","34%","28%","28%"
"gen_boom_lead","22%","4%","17%","17%"
"gen_boom_trail","23%","8%","33%","33%"
"gen_ww2","13%","2%","3%","3%"
"gen_x","42%","35%","47%","47%"
"gen_y","0%","51%","0%","0%"
"group","0%","100%","0%","100%"
"group_fam","27%","35%","37%","36%"
"group_ger","0%","3%","1%","3%"
"group_int","44%","27%","27%","25%"
"group_obgyn","11%","15%","15%","14%"
"group_ped","17%","20%","20%","21%"
"hispanicrace","3%","5%","4%","4%"
"hpsa_full","5%","5%","5%","5%"
"hpsa_not","3%","3%","3%","4%"
"hpsa_part","91%","92%","91%","91%"
"man","0%","0%","0%","0%"
"masian","7%","4%","4%","4%"
"mblack","5%","4%","5%","5%"
"mgen_boom_lead","17%","3%","14%","14%"
"mgen_boom_trail","14%","5%","20%","20%"
"mgen_ww2","12%","1%","3%","3%"
"mgen_x","21%","14%","19%","19%"
"mgen_y","0%","17%","0%","0%"
"mhispanic","2%","2%","2%","2%"
"mother","2%","1%","1%","1%"
"munknown","0%","3%","0%","0%"
"mwhite","48%","26%","45%","45%"
"obstetrics","7%","16%","13%","10%"
"other_race","4%","3%","2%","2%"
"patient_care_hours","39.3 (16.6)","38.1 (15.4)","41.9 (13.9)","38.5 (15.4)"
"practice_yrs","21.3 (12.4)","13.7 (10.8)","18.8 (9.3)","28.8 (9.3)"
"prenatal","10%","19%","16%","13%"
"race_unknown","1%","8%","0%","0%"
"ruca_lrural","14%","11%","14%","13%"
"ruca_srural","6%","4%","5%","5%"
"ruca_urban","80%","86%","81%","82%"
"school_img","20%","17%","14%","14%"
"school_in_state","24%","21%","33%","33%"
"school_out_hbcu","1%","2%","2%","2%"
"school_out_nonhbcu","55%","60%","52%","52%"
"setting_amb","38%","44%","66%","62%"
"setting_hosp","31%","28%","11%","11%"
"setting_medsch","12%","3%","4%","3%"
"setting_missing","8%","12%","5%","4%"
"setting_nurs","1%","1%","1%","2%"
"setting_other","2%","9%","1%","8%"
"setting_solo","9%","2%","13%","10%"
"white","71%","60%","73%","73%"
"zadi_state","0 (1)","0 (1)","0 (1)","0 (1)"
"zhours","-0.1 (1.1)","0 (1)","0.1 (0.9)","0 (1)"
