"Variable","2009 only (N = 4085)","Both years – 2009 (N = 4617)","Both years – 2019 (N = 4617)","2019 only (N = 3312)"
"_0to5","8% (N = 318)","22% (N = 735)","6% (N = 268)","0% (N = 0)"
"_11to20","26% (N = 1075)","27% (N = 908)","39% (N = 1808)","21% (N = 971)"
"_21to30","24% (N = 980)","11% (N = 376)","28% (N = 1283)","39% (N = 1808)"
"_31more","25% (N = 1008)","10% (N = 324)","12% (N = 553)","40% (N = 1836)"
"_6to10","17% (N = 688)","29% (N = 967)","15% (N = 703)","0% (N = 0)"
"adi_state","4.8 (3)","4.4 (3)","4.6 (3)","4.5 (3)"
"age","47.9 (12.3)","40.8 (10.9)","45.3 (9.2)","55.3 (9.2)"
"age35below","19% (N = 792)","39% (N = 1302)","15% (N = 697)","0% (N = 0)"
"age36to45","27% (N = 1108)","36% (N = 1198)","39% (N = 1796)","15% (N = 697)"
"age46to55","24% (N = 981)","13% (N = 415)","32% (N = 1462)","39% (N = 1796)"
"age56to65","21% (N = 866)","8% (N = 254)","12% (N = 575)","32% (N = 1462)"
"age66over","8% (N = 338)","4% (N = 143)","2% (N = 87)","14% (N = 662)"
"american_native","1% (N = 26)","0% (N = 14)","1% (N = 34)","1% (N = 34)"
"asian_or_pi","11% (N = 432)","12% (N = 408)","9% (N = 427)","9% (N = 427)"
"black","10% (N = 404)","11% (N = 378)","11% (N = 521)","11% (N = 521)"
"fan","0% (N = 10)","0% (N = 12)","0% (N = 17)","0% (N = 17)"
"fasian","4% (N = 160)","8% (N = 259)","5% (N = 227)","5% (N = 227)"
"fblack","5% (N = 200)","8% (N = 255)","7% (N = 312)","7% (N = 312)"
"female","35% (N = 1448)","60% (N = 1984)","43% (N = 1985)","43% (N = 1985)"
"fgen_boom_lead","5% (N = 211)","1% (N = 29)","3% (N = 140)","3% (N = 140)"
"fgen_boom_trail","9% (N = 360)","3% (N = 105)","12% (N = 569)","12% (N = 569)"
"fgen_ww2","1% (N = 42)","0% (N = 4)","0% (N = 8)","0% (N = 8)"
"fgen_x","20% (N = 829)","22% (N = 723)","27% (N = 1268)","27% (N = 1268)"
"fgen_y","0% (N = 6)","34% (N = 1123)","0% (N = 0)","0% (N = 0)"
