pi.l_09.1,pi.l_09.2,pi.l_09.3,pi.l_09.4,tau.A.1,tau.A.2,tau.A.3,tau.A.4,rho.a.1,rho.a.2,rho.a.3,rho.a.4,rho.b.1,rho.b.2,rho.b.3,rho.b.4
0.171002827,0.142352417,0.444227775,0.242416981,0.827348195,3.14602E-69,0.020972016,0.029484314,0.503495828,0.9984779,0.58215515,0.585432697,0.528245454,1,0.594434473,0.59229428
0.171002827,0.142352417,0.444227775,0.242416981,4.496E-120,0.995877328,6.04574E-28,2.3306E-127,0.496504172,0.0015221,0.41784485,0.414567303,0.471754546,0,0.405565527,0.40770572
0.171002827,0.142352417,0.444227775,0.242416981,0.097527605,1.7488E-142,0.763523491,0.296630067,0.692218077,1,0.718673768,0.599728102,0.717506991,1,0.727086728,0.659847859
0.171002827,0.142352417,0.444227775,0.242416981,0.0751242,0.004122672,0.215504493,0.673885619,0.307781923,0,0.281326232,0.400271898,0.282493009,0,0.272913272,0.340152141
0.171002827,0.142352417,0.444227775,0.242416981,0.827348195,3.14602E-69,0.020972016,0.029484314,0.985408791,0.001522101,1,0.997999332,0.988744178,0,1,0.998203478
0.171002827,0.142352417,0.444227775,0.242416981,4.496E-120,0.995877328,6.04574E-28,2.3306E-127,0.014591209,0.998477899,7.921E-155,0.002000668,0.011255822,1,1.0766E-187,0.001796522
0.171002827,0.142352417,0.444227775,0.242416981,0.097527605,1.7488E-142,0.763523491,0.296630067,0.822677081,1,0.702584053,0.837389542,0.797043858,1,0.695187775,0.82595019
0.171002827,0.142352417,0.444227775,0.242416981,0.0751242,0.004122672,0.215504493,0.673885619,0.177322919,0,0.297415947,0.162610458,0.202956142,0,0.304812225,0.17404981
0.171002827,0.142352417,0.444227775,0.242416981,0.827348195,3.14602E-69,0.020972016,0.029484314,0.997466815,1,0.997074597,0.980343791,0.968459518,1,0.983291024,0.923704193
0.171002827,0.142352417,0.444227775,0.242416981,4.496E-120,0.995877328,6.04574E-28,2.3306E-127,0.002533185,0,0.002925403,0.019656209,0.031540482,0,0.016708976,0.076295807
0.171002827,0.142352417,0.444227775,0.242416981,0.097527605,1.7488E-142,0.763523491,0.296630067,0.382091329,0.242060377,2.80119E-11,1,0.417613073,0.321156482,2.78879E-23,1
0.171002827,0.142352417,0.444227775,0.242416981,0.0751242,0.004122672,0.215504493,0.673885619,0.617908671,0.757939623,1,7.00535E-27,0.582386927,0.678843518,1,5.56598E-27
0.171002827,0.142352417,0.444227775,0.242416981,0.827348195,3.14602E-69,0.020972016,0.029484314,0.879673734,0.951362251,1,0.676536284,0.908331549,0.883681892,1,0.714669958
0.171002827,0.142352417,0.444227775,0.242416981,4.496E-120,0.995877328,6.04574E-28,2.3306E-127,0.120326266,0.048637749,0,0.323463716,0.091668451,0.116318108,0,0.285330042
0.171002827,0.142352417,0.444227775,0.242416981,0.097527605,1.7488E-142,0.763523491,0.296630067,0.998733408,0.960500304,1,0.868625781,1,0.964933384,1,0.908565996
0.171002827,0.142352417,0.444227775,0.242416981,0.0751242,0.004122672,0.215504493,0.673885619,0.001266592,0.039499696,0,0.131374219,0,0.035066616,0,0.091434004
0.171002827,0.142352417,0.444227775,0.242416981,0.827348195,3.14602E-69,0.020972016,0.029484314,0.994933631,1,1,0.966048366,0.984915422,1,1,0.947546632
0.171002827,0.142352417,0.444227775,0.242416981,4.496E-120,0.995877328,6.04574E-28,2.3306E-127,0.005066369,0,0,0.033951634,0.015084578,0,0,0.052453368
0.171002827,0.142352417,0.444227775,0.242416981,0.097527605,1.7488E-142,0.763523491,0.296630067,0.805366018,0.893241634,1,0.65944136,0.850832246,0.928073139,1,0.739207216
0.171002827,0.142352417,0.444227775,0.242416981,0.0751242,0.004122672,0.215504493,0.673885619,0.194633982,0.106758366,0,0.34055864,0.149167754,0.071926861,0,0.260792784
0.171002827,0.142352417,0.444227775,0.242416981,0.827348195,3.14602E-69,0.020972016,0.029484314,0.98859992,0.996957877,1,0.980343791,0.886136623,0.940533369,1,0.793329294
0.171002827,0.142352417,0.444227775,0.242416981,4.496E-120,0.995877328,6.04574E-28,2.3306E-127,0.01140008,0.003042123,0,0.019656209,0.113863377,0.059466631,0,0.206670706
0.171002827,0.142352417,0.444227775,0.242416981,0.097527605,1.7488E-142,0.763523491,0.296630067,0.976327185,0.200306595,0.980985049,0.976913192,0.993143316,0.322144479,0.993417676,0.987253637
0.171002827,0.142352417,0.444227775,0.242416981,0.0751242,0.004122672,0.215504493,0.673885619,0.023672815,0.799693405,0.019014951,0.023086808,0.006856684,0.677855521,0.006582324,0.012746363
0.171002827,0.142352417,0.444227775,0.242416981,0.827348195,3.14602E-69,0.020972016,0.029484314,0.953436238,0.183764626,0.95563156,0.918694105,0.978015265,0.293120263,0.980759361,0.941048041
0.171002827,0.142352417,0.444227775,0.242416981,4.496E-120,0.995877328,6.04574E-28,2.3306E-127,0.046563762,0.816235374,0.04436844,0.081305895,0.021984735,0.706879737,0.019240639,0.058951959
0.171002827,0.142352417,0.444227775,0.242416981,0.097527605,1.7488E-142,0.763523491,0.296630067,1,0.158967458,0,0,1,0.158574505,8.6237E-230,0
0.171002827,0.142352417,0.444227775,0.242416981,0.0751242,0.004122672,0.215504493,0.673885619,1.05451E-52,0.841032542,1,1,4.78461E-54,0.841425495,1,1
0.171002827,0.142352417,0.444227775,0.242416981,0.827348195,3.14602E-69,0.020972016,0.029484314,0.294715496,0.871943886,1,1,0.298547231,0.870907611,1,1
0.171002827,0.142352417,0.444227775,0.242416981,4.496E-120,0.995877328,6.04574E-28,2.3306E-127,0.705284504,0.128056114,0,0,0.701452769,0.129092389,4.0259E-230,0
0.171002827,0.142352417,0.444227775,0.242416981,0.097527605,1.7488E-142,0.763523491,0.296630067,0.705284504,0.969088656,1,1,0.701452769,0.970517884,1,1
0.171002827,0.142352417,0.444227775,0.242416981,0.0751242,0.004122672,0.215504493,0.673885619,0.294715496,0.030911344,0,0,0.298547231,0.029482116,4.5978E-230,0
