Class1_2009,Class2_2009,Class3_2009,Class4_2009,Class1_2019,Class2_2019,Class3_2019,Class4_2019,categories,variable
0.496504172,0.0015221,0.41784485,0.414567303,0.471754546,0,0.405565527,0.40770572,Family medicine,Specialty
0.307781923,0,0.281326232,0.400271898,0.282493009,0,0.272913272,0.340152141,General internal medicine,Specialty
0.014591209,0.998477899,7.92E-155,0.002000668,0.011255822,1,1.08E-187,0.001796522,General obstetrics and gynecology,Specialty
0.177322919,0,0.297415947,0.162610458,0.202956142,0,0.304812225,0.17404981,General pediatrics,Specialty
0.002533185,0,0.002925403,0.019656209,0.031540482,0,0.016708976,0.076295807,Geriatrics,Specialty
0.617908671,0.757939623,1,7.01E-27,0.582386927,0.678843518,1,5.57E-27,Ambulatory care,Setting
0.120326266,0.048637749,0,0.323463716,0.091668451,0.116318108,0,0.285330042,Hospital,Setting
0.001266592,0.039499696,0,0.131374219,0,0.035066616,0,0.091434004,Medical school/parent university,Setting
0.005066369,0,0,0.033951634,0.015084578,0,0,0.052453368,Nursing home/extended care,Setting
0.194633982,0.106758366,0,0.34055864,0.149167754,0.071926861,0,0.260792784,Solo practitioner,Setting
0.01140008,0.003042123,0,0.019656209,0.113863377,0.059466631,0,0.206670706,Other,Setting
0.023672815,0.799693405,0.019014951,0.023086808,0.006856684,0.677855521,0.006582324,0.012746363,Providing Routine Obstetric Care,Obstetrics
0.046563762,0.816235374,0.04436844,0.081305895,0.021984735,0.706879737,0.019240639,0.058951959,Providing Routine Prenatal Care,Prenatal
1.05E-52,0.841032542,1,1,4.78E-54,0.841425495,1,1,Urban,Urban
0.705284504,0.128056114,0,0,0.701452769,0.129092389,4.03E-230,0,Large rural,Urban 
0.294715496,0.030911344,0,0,0.298547231,0.029482116,4.60E-230,0,Small rural,Urban
